,Questions,Answers,Label
57,who is considered as the original master?,"being beyond time, isvara or god is revered as the primoridial master by the ancients.",1
58,who is considered as the primordial guru?,"being beyond time, isvara or god is revered as the primoridial master by the ancients.",1
59,who is considered as the original guru?,"being beyond time, isvara or god is revered as the primoridial master by the ancients.",1
60,what name represents god?,"isvara or god is symbolized by the sacred sound of ""om"".",1
61,what sound represents god?,"isvara or god is symbolized by the sacred sound of ""om"".",1
62,what is god's name?,"isvara or god is symbolized by the sacred sound of ""om"".",1
63,how should one take the name of god?,this verbatim of ishvara is to be repeated with devotion along with its meaning.,1
64,what is the effective way to utter the name of god?,this verbatim of ishvara is to be repeated with devotion along with its meaning.,1
65,what is the benefit of taking the name of god?,"as one continues to focus on ishvara as mentioned, one's consciouness ascends and also obstacles begin to dissipate.",1
66,what happens if one utters god's name in the prescribed manner?,"as one continues to focus on ishvara as mentioned, one's consciouness ascends and also obstacles begin to dissipate.",1
67,how many kinds of distractions of mind are there?,"obstacles such as sickness, apathy, doubt, carelessness, laziness, hedonism, delusion, lack of progress, and inconstancy all serve as distractions that clouds consciousness and act as barriers.",1
68,what are the types of barriers in the path of yoga?,"obstacles such as sickness, apathy, doubt, carelessness, laziness, hedonism, delusion, lack of progress, and inconstancy all serve as distractions that clouds consciousness and act as barriers.",1
69,what are the effects of a distracted mind?,"these distractions may result in feelings of distress, depression, or an inability to maintain steadiness of posture or breathing (uncontrolled inhalations & exhalations).",1
70,what symptoms create the barriers on the path of yoga?,"these distractions may result in feelings of distress, depression, or an inability to maintain steadiness of posture or breathing (uncontrolled inhalations & exhalations).",1
71,what singular factor can alleviate the distractions of mind?,"however, focus towards one unwavering 'element' (here ishwara) can help one subdue these distractions.",1
72,how can one combat distractions of mind and its accompanying symptms?,"however, focus towards one unwavering 'element' (here ishwara) can help one subdue these distractions.",1
73,what are the other means to calm mental distractions?,"other means involves radiating friendliness, compassion, delight, and equanimity towards one who is pleasant, in pain, good and bad respectively.",1
74,what constitutes emotional intelligence in yoga?,"other means involves radiating friendliness, compassion, delight, and equanimity towards one who is pleasant, in pain, good and bad respectively.",1
75,?,"other means involves radiating friendliness, compassion, delight, and equanimity towards one who is pleasant, in pain, good and bad respectively.",1
76,how to calm the mental distractions through breath control? ,another way involves pausing after forceful exhalations.,1
77,how to calm the mind using the senses?,steadily observing as new (sattvik) sensations arise  (by the means of any of the 5 sense organs) can be a way to subdue distractions and focus the mind.,1
78,what are some other means to calm mental distractions?,experiencing thoughts that are luminous and free of sorrow can also aid in achieving stillness of mind.,1
79,how can we achieve stillness of mind?,experiencing thoughts that are luminous and free of sorrow can also aid in achieving stillness of mind.,1
80,does holy company help in yoga?,focusing on things/people that do not inspire attachment can be a helpful technique in meditation.,1
81,can dreams help in yoga?,reflecting on insights gained while asleep and dreaming can be a source of guidance too.,1
82,are dreams relevant for yoga?,reflecting on insights gained while asleep and dreaming can be a source of guidance too.,1
83,can focus on anything of one's (satvik) choice help in calming the mind?,meditative absorption in any desired (sattvik) object of one's choice can lead to a state of deep concentration and awareness.,1
84,can we focus of something of our choice?,meditative absorption in any desired (sattvik) object of one's choice can lead to a state of deep concentration and awareness.,1
85,what should we focus on during meditation?,meditative absorption in any desired (sattvik) object of one's choice can lead to a state of deep concentration and awareness.,1
86,how should we medidate?,meditative absorption in any desired (sattvik) object of one's choice can lead to a state of deep concentration and awareness.,1
87,what kind of ability is gained by those who have controlled their mental distractions?,"complete absorption in any object, whether subtlest and (macroscopic or) microscopic , is possible through meditation.",1
88,what powers accrue when one calms down their mind?,"complete absorption in any object, whether subtlest and (macroscopic or) microscopic , is possible through meditation.",1
89,what are the qualities of a mind ready for higher level of meditative absorption?,"as the fluctuations of mind fade away, a transparent mode of perception called 'samapatti'* alike to a transparent jewel/prism takes over. this transparent mind reflects everything in its perview equally - subject, object, or act of perceiving - like a prism (reflecting the constituents of light in seven colors).",1
90,what is samapatti?,"as the fluctuations of mind fade away, a transparent mode of perception called 'samapatti'* alike to a transparent jewel/prism takes over. this transparent mind reflects everything in its perview equally - subject, object, or act of perceiving - like a prism (reflecting the constituents of light in seven colors).",1
91,what are the stages of cognition for a mind ready for meditative absorption?,"in the state of 'savitarka samapatti'* i.e. samapatti* with physical awareness constitutes with liguistic idea of word, meaning and idea.",1
92,what is savitarka samapatti?,"in the state of 'savitarka samapatti'* i.e. samapatti* with physical awareness constitutes with liguistic idea of word, meaning and idea.",1
93,how does the cognition of a mind at the higher level of mediative absorption appear?,"at the next stage, objects lose their association with memory and are formless, revealing only their essential nature. this stage is known as 'nirvitarka'*.",1
94,what is nirvitarka samapatti?,"at the next stage, objects lose their association with memory and are formless, revealing only their essential nature. this stage is known as 'nirvitarka'*.",1
95,what is/are the subject matter of the mind at the higher levels of meditative absorption?,"similarly, the states of 'savichara'* and 'nirvichara'* have objects of contemplation which are subtle in nature.",1
96,what is savichara state?,"similarly, the states of 'savichara'* and 'nirvichara'* have objects of contemplation which are subtle in nature.",1
97,what is nirvichara state?,"similarly, the states of 'savichara'* and 'nirvichara'* have objects of contemplation which are subtle in nature.",1
98,what are the details of the subject matter of the mind at the higher levels of meditative absorption?,"by tracing subtle objects back to their undifferentiated nature, they can be understood.",1
99,what name is given to the all these higher level of meditative absorption collectively?,"the four atages of awareness (mentioned above) - savitarka*, nirvitarka*, savichara* and nirvichara *- are referred to as meditative absorption that contains latent impressions (seeds).",1
100,what are the higher levels of meditative absorption collectively reffered to as?,"the four atages of awareness (mentioned above) - savitarka*, nirvitarka*, savichara* and nirvichara *- are referred to as meditative absorption that contains latent impressions (seeds).",1
101,what is sabija samadhi?,"the four atages of awareness (mentioned above) - savitarka*, nirvitarka*, savichara* and nirvichara *- are referred to as meditative absorption that contains latent impressions (seeds).",1
102,what are the four stages of sabija samadhi?,"the four atages of awareness (mentioned above) - savitarka*, nirvitarka*, savichara* and nirvichara *- are referred to as meditative absorption that contains latent impressions (seeds).",1
103,what happens if one successfully goes past these higher level of meditative absorption?,"(among these four stages) once the stage of nirvichara* is comprehended, the nature of the self is illuminated.",1
104,what happens when the state of nirvichara is achieved?,"(among these four stages) once the stage of nirvichara* is comprehended, the nature of the self is illuminated.",1
105,how does the mind behave once passed the higher levels of meditation?,the wisdom that arises from this comprehension is infallible.,1
106,what special quality is bestowed once the mind succesfully achieves the higher levels of meditation?,the wisdom that arises from this comprehension is infallible.,1
107,can one fall even after reaching nirvichara state?,the wisdom that arises from this comprehension is infallible.,1
108,what is special about the knowledge gained after reaching nirvichara state?,"this wisdom, unlike knowledge gained from inference or instruction, therefore holds a special importance.",1
109,can other impressions arise even after reaching the nirvichara state?,"the impressions/ideas generated by this special knowledge, hinder the activation of other impressions.",1
110,what happens when the impressions present in the nirvichara state come to an end?,"when these impressions too come to an end, and the movement of consciousness is entirely pacified, this stage of 'impressionless' consciousness is termed as 'seedless' meditative absorption.",1
111,what is kriya yoga?,"kriya yoga comprises of self discipline, study of self, and devotion towards ishvara.",1
112,what constitutes kriya yoga?,"kriya yoga comprises of self discipline, study of self, and devotion towards ishvara.",1
113,is devotion to god a part of yoga?,"kriya yoga comprises of self discipline, study of self, and devotion towards ishvara.",1
114,is devotion to god a part of kriya yoga?,"kriya yoga comprises of self discipline, study of self, and devotion towards ishvara.",1
115,what does a (successful) practice of kriya yoga leads to?,the aim of this path of action is to eliminate the roots of suffering and accomplish samadhi* (an advanced meditative state).,1
116,what are the effects of kriya yoga?,the aim of this path of action is to eliminate the roots of suffering and accomplish samadhi* (an advanced meditative state).,1
117,what are the fruits of kriya yoga?,the aim of this path of action is to eliminate the roots of suffering and accomplish samadhi* (an advanced meditative state).,1
118,how can we eliminate suffering?,the aim of this path of action is to eliminate the roots of suffering and accomplish samadhi* (an advanced meditative state).,1
119,what are kleshas?,"the roots of suffering include - ignorance, the sense of 'i', attachment, aversion, and fear of death.",1
120,what are the barriers on the path of yoga?,"the roots of suffering include - ignorance, the sense of 'i', attachment, aversion, and fear of death.",1
121,how many kinds of barriers occur in the path of yoga?,"the roots of suffering include - ignorance, the sense of 'i', attachment, aversion, and fear of death.",1
122,what are the causes of suffering?,"the roots of suffering include - ignorance, the sense of 'i', attachment, aversion, and fear of death.",1
123,why do we suffer?,"the roots of suffering include - ignorance, the sense of 'i', attachment, aversion, and fear of death.",1
124,what is the origin of kleshas?,"the causes of suffering germinate due to 'ignorance' and these sufferings can be either dormant, weakened, interrupted or fully activated.",1
125,what is the fundamental causative factor of the barriers to yoga?,"the causes of suffering germinate due to 'ignorance' and these sufferings can be either dormant, weakened, interrupted or fully activated.",1
126,what is the breeding ground for kleshas?,"the causes of suffering germinate due to 'ignorance' and these sufferings can be either dormant, weakened, interrupted or fully activated.",1
127,what are the different kinds of sufferings?,"the causes of suffering germinate due to 'ignorance' and these sufferings can be either dormant, weakened, interrupted or fully activated.",1
128,what is ignorance?,"ignorance is the state where one confuses impermanence, impurity, distress, and non self with permanence, purity, happiness, and self.",1
129,what happens in a state of ignorance?,"ignorance is the state where one confuses impermanence, impurity, distress, and non self with permanence, purity, happiness, and self.",1
130,what is the state of confusion?,"ignorance is the state where one confuses impermanence, impurity, distress, and non self with permanence, purity, happiness, and self.",1
131,what is ego?,the sense of 'i' (wrongly) identifies perception of pure awareness as the perception of the senses.,1
132,what is attachment?,attachment is the cause of pleasurable experiences.,1
133,what is the cause of desire?,attachment is the cause of pleasurable experiences.,1
134,what is the cause of pleasure?,attachment is the cause of pleasurable experiences.,1
135,what is aversion?,aversion is a cause of suffering(s).,1
136,what is the cause of sufferings?,aversion is a cause of suffering(s).,1
137,do the wise also fear death?,"even the wise similar to a non-wise, instinctively fear death, perpetuating suffering.",1
138,when does one get rid of kleshas?,these kleshas* (sufferings) are very subtle (hence not easily erased). they are eliminated only when the mind merges into its orgin.,1
139,is it possible to destroy kleshas?,these kleshas* (sufferings) are very subtle (hence not easily erased). they are eliminated only when the mind merges into its orgin.,1
140,is it possible to end our suffering?,these kleshas* (sufferings) are very subtle (hence not easily erased). they are eliminated only when the mind merges into its orgin.,1
141,how does meditation help in eliminating suffering?,"through meditation, the fluctuations of mind that arise due to these kleshas* (sufferings) can be terminated.",1
142,what is the relationship between kleshas and samskaras?,"the deposits of karma* (actions) are rooted in the causes of klesha* (suffering), which is experienced either in the future or in the present.",1
143,what are the effects of kleshas?,"as long as the root source i.e. klesha (suffering) exists, its contents will continue to result as - type of birth, span of life, and experience of life.",1
144,how does kleshas affect the experience of life?,"each person's- type of birth, span of life, and experience of life, fructifes either as pleasure or pain, which is resultant of their past virtuous or viceful actions.",1
145,why are kleshas considered to be strong barriers in the path of yoga? ,"the wise recognize that suffering is inherent in all experiences, whether it be the agony of the results of actions, or the pain of distress, or of the burden of latent impressions (samskaras*) filled with suffering, along with the constant struggle of the flutuations of the mind due to the fundamental qualities (gunas*) of nature.",1
146,is it possible to prevent sorrow from arising in our mind?,"however, it is possible to prevent suffering from arising altogether.",1
147,what is the fundamental reason of sorrow?,the root cause of all suffering is the mistaken belief that pure awareness and the perception of awareness are inseparable.,1
148,what is the root cause of sorrow?,the root cause of all suffering is the mistaken belief that pure awareness and the perception of awareness are inseparable.,1
149,what are the characteristics of drishya (the seen)?,"the phenomenal world that awareness perceives is characterized by luminosity (sattva), activity (rajas), and inertia (tamas), and is composed of - elements and senses, and serves the purpose of both sensual experience as well as liberation (to drasta*).",1
150,what is the relationship between the seer and the seen (drasta and the drishya)?,"the phenomenal world that awareness perceives is characterized by luminosity (sattva), activity (rajas), and inertia (tamas), and is composed of - elements and senses, and serves the purpose of both sensual experience as well as liberation (to drasta*).",1
151,what is the world composed of?,"the phenomenal world that awareness perceives is characterized by luminosity (sattva), activity (rajas), and inertia (tamas), and is composed of - elements and senses, and serves the purpose of both sensual experience as well as liberation (to drasta*).",1
152,what is the cause of sensual experience?,"the phenomenal world that awareness perceives is characterized by luminosity (sattva), activity (rajas), and inertia (tamas), and is composed of - elements and senses, and serves the purpose of both sensual experience as well as liberation (to drasta*).",1
153,what are the levels of drishya (the seen)?,"the various levels of existence - whether they are  differentiated, undifferentiated, distinct or indistinct - are all expressions of the basic characteristics inherent in nature (gunas*).",1
154,what are the levels of nature?,"the various levels of existence - whether they are  differentiated, undifferentiated, distinct or indistinct - are all expressions of the basic characteristics inherent in nature (gunas*).",1
155,?,"the various levels of existence - whether they are  differentiated, undifferentiated, distinct or indistinct - are all expressions of the basic characteristics inherent in nature (gunas*).",1
156,what are the attributes of drishta (the seer)?,"pure awareness (drashta*) is simply the act of seeing (hence called seer), but it typically appears to function through the perceiving mind despite its purity.",1
157,what are the attributes of consciousness?,"pure awareness (drashta*) is simply the act of seeing (hence called seer), but it typically appears to function through the perceiving mind despite its purity.",1
158,what are the attributes of awareness?,"pure awareness (drashta*) is simply the act of seeing (hence called seer), but it typically appears to function through the perceiving mind despite its purity.",1
159,is the drasta and the drishya interdependent?,the purpose of the phenomenal world (drashya*) is essentially to reveal this truth (for the seer).,1
160,why did god create the world?,the purpose of the phenomenal world (drashya*) is essentially to reveal this truth (for the seer).,1
161,why did god create the universe?,the purpose of the phenomenal world (drashya*) is essentially to reveal this truth (for the seer).,1
162,why does the drishya perpetuates?,"once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",1
163,does the drishya end?,"once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",1
164,does the world cease to exist when we achieve moksha?,"once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",1
165,does the world cease to exist when we achieve liberation?,"once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",1
166,does the world cease to exist when we achieve realisation?,"once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",1
167,what is the nature of the coupling or the association between the drashta and the drishya?,"it is the apparent indivisibility of pure awareness and the phenomenal world (i.e. the concept of conjunction), that gives insight into the potency of both the possessor and the possessed.",1
168,what is the reason of the conjuntion between the drashta and the drishya?,the cause of this phenomenon (of conjunction) is ignorance.,1
169,what causes purusha to get associated with prakriti?,the cause of this phenomenon (of conjunction) is ignorance.,1
170,what is kaivalya?,"when this ignorance fades, the appearance of indivisibility also fades, and it becomes clear that pure awareness is free and unaffected by phenomenal world which the state of liberation (kaivalya*).",1
171,what happens in the state of liberation?,"when this ignorance fades, the appearance of indivisibility also fades, and it becomes clear that pure awareness is free and unaffected by phenomenal world which the state of liberation (kaivalya*).",1
172,what is state of liberation with respect to drasta and drishya?,"when this ignorance fades, the appearance of indivisibility also fades, and it becomes clear that pure awareness is free and unaffected by phenomenal world which the state of liberation (kaivalya*).",1
173,how can purusha be disassociated with prakriti?,"when this ignorance fades, the appearance of indivisibility also fades, and it becomes clear that pure awareness is free and unaffected by phenomenal world which the state of liberation (kaivalya*).",1
174,what path leads one to kailvalya or liberation?,"unflinching discriminative discernment (between the seer and the seen) is the path to liberation (not the final state yet, this is the upper stage of ritambhara pragya (1.48) where even this prayga ceases).",1
175,what trait is required to get on the path towards liberation?,"unflinching discriminative discernment (between the seer and the seen) is the path to liberation (not the final state yet, this is the upper stage of ritambhara pragya (1.48) where even this prayga ceases).",1
176,what path is to be followed after the mind gets established in the higher levels of meditation (ritambhara pragya)?,"unflinching discriminative discernment (between the seer and the seen) is the path to liberation (not the final state yet, this is the upper stage of ritambhara pragya (1.48) where even this prayga ceases).",1
177,how many cognitive levels does the path towards liberation have?,"on this path of liberation, the one (yogi) with the wisdom of discriminative discernment extends to seven ultimate stages.",1
178,what practice leads on to the path towards liberation?,"by practicing the components of yoga, impurities diminish, allowing the light of understanding to shine and illuminate the path to discriminative awareness.",1
179,what is the tool which enables one to cover the path towards liberation?,"by practicing the components of yoga, impurities diminish, allowing the light of understanding to shine and illuminate the path to discriminative awareness.",1
180,how does yoga establish one on the path towards liberation?,"by practicing the components of yoga, impurities diminish, allowing the light of understanding to shine and illuminate the path to discriminative awareness.",1
181,what constitutes astanga yoga?,"social discipline, personal observances, pyscho-physical posture, breath regulation, withdrawl of senses, concentration, meditation and liberation make up the eight limbs of yoga.",1
182,how many limbs does yoga have?,"social discipline, personal observances, pyscho-physical posture, breath regulation, withdrawl of senses, concentration, meditation and liberation make up the eight limbs of yoga.",1
183,what are the names of the limbs of yoga?,"social discipline, personal observances, pyscho-physical posture, breath regulation, withdrawl of senses, concentration, meditation and liberation make up the eight limbs of yoga.",1
184,what is the eightfold path of yoga?,"social discipline, personal observances, pyscho-physical posture, breath regulation, withdrawl of senses, concentration, meditation and liberation make up the eight limbs of yoga.",1
185,what are social disciplines?,"the five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",1
186,how many social disciplines are there?,"the five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",1
187,what constitutes social disciplines?,"the five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",1
188,what are the names of social disciplines?,"the five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",1
189,what are yamas?,"the five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",1
190,what is yama?,"the five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",1
191,when does social disciplines become firmly established?,"these principles are solemn resolutions. they are not bound by one's social status, territory, specific time or any duration. they are universal.",1
192,when does social disciplines become unshakable vows?,"these principles are solemn resolutions. they are not bound by one's social status, territory, specific time or any duration. they are universal.",1
193,how many personal observances are there?,"the five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to god.",1
194,what are niyamas?,"the five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to god.",1
195,what constitutes personal observances?,"the five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to god.",1
196,what are the names of all personal observances?,"the five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to god.",1
197,what is niyama?,"the five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to god.",1
198,what should be done to combat the negative feelings towards the practice of social disciplines and personal observances?,negative thoughts can be countered by developing positive ones.,1
199,what are the features of negative feelings?,"negative thoughts such as violence etc. arise from greed, anger, or attachment, and regardless of their intensity such as less, medium or excessive, inevitably lead to ignorance and suffering. therefore, it is necessary to cultivate counteracting (i.e.positive) thoughts.",1
200,what are the details of the negative feelings one encounters on the path of yoga?,"negative thoughts such as violence etc. arise from greed, anger, or attachment, and regardless of their intensity such as less, medium or excessive, inevitably lead to ignorance and suffering. therefore, it is necessary to cultivate counteracting (i.e.positive) thoughts.",1
201,what kind of negative feelings one faces in the path of yoga and how to counter them?,"negative thoughts such as violence etc. arise from greed, anger, or attachment, and regardless of their intensity such as less, medium or excessive, inevitably lead to ignorance and suffering. therefore, it is necessary to cultivate counteracting (i.e.positive) thoughts.",1
202,what are the merits of practicing non-violence?,"when one is strongly rooted in non-violence, it fosters an environment (around that yogi) where others resign their hatred.",1
203,what happens when one gets firmly established in the virtue of non-violence?,"when one is strongly rooted in non-violence, it fosters an environment (around that yogi) where others resign their hatred.",1
204,what are the merits of practicing truthfulness?,"those who become firmly rooted in truthfulness, experience every action and its outcome in accordance with the truth.",1
205,what happens when one gets firmly established in the virtue of truthfulness?,"those who become firmly rooted in truthfulness, experience every action and its outcome in accordance with the truth.",1
206,what are the benefits of non-stealth?,"for those established in the virtue of non-stealing (or not accepting which is not their's), entire treasures are revealed.",1
207,what happens when one firmly refrains from stealing?,"for those established in the virtue of non-stealing (or not accepting which is not their's), entire treasures are revealed.",1
208,what is the worth of unshakable celibacy?,celibacy when deeply ingrained secures energy.,1
209,is celibacy useful in spirituality?,celibacy when deeply ingrained secures energy.,1
210,is celibacy useful?,celibacy when deeply ingrained secures energy.,1
211,what is the reward of establishing oneself in the virtue of non-hoarding?,"being resolute in the state of non-greediness (desirelessness), the understanding of (previous) births is revealed. ",1
212,can we remember our past births?,"being resolute in the state of non-greediness (desirelessness), the understanding of (previous) births is revealed. ",1
213,what are the benefits of practicing (physical) cleanliness?,"practicing cleanliness, one becomes free from the body's compulsions and from the need of (physically) associating with others.",1
214,what are the benefits of mental cleanliness?,"developing sattva through the practice of cleanliness (mental purification) leads to radiance, increased ability to focus, sense control, and ability for self-awareness.",1
215,what is the reward of cultivating contentment?,contentment brings an unmatched sense of joy.,1
216,what are the benefits of successful practice of austerity (intense discipline)? ,"through intense discipline, impurities are burned away, and the body and senses become highly refined.",1
217,what is the merit of self reflection (self-study)?,self-reflection strengthens the connection with one's personal deity.,1
218,how can strengthen our relation with god?,self-reflection strengthens the connection with one's personal deity.,1
219,what is the reward for devotion towards god?,devotion towards god or ishvara* bestows the competence to attain samadhi* (liberation).,1
220,what is the reward for devotion towards ishvara?,devotion towards god or ishvara* bestows the competence to attain samadhi* (liberation).,1
221,what qualifies as psychophysical posture?,the body should actualize both steadiness and ease during a psychophysical posture.,1
222,what are the qualities of psychophysical posture?,the body should actualize both steadiness and ease during a psychophysical posture.,1
223,what is the means to achieve psychophysical posture?,"this is possible when all effort is relaxed, and a sense of unity between the body and the infinite universe emerges.",1
224,what is the method to establish oneself in psychophysical posture?,"this is possible when all effort is relaxed, and a sense of unity between the body and the infinite universe emerges.",1
225,what is the marker to gauge the success in psychophysical posture?,"at this point, the dualities of opposites no longer disturbs one.",1
226,what is the fruit of performing asana?,"at this point, the dualities of opposites no longer disturbs one.",1
227,what is the effect of psychophysical posture?,"at this point, the dualities of opposites no longer disturbs one.",1
228,what does practice of psychophysical posture result in?,"at this point, the dualities of opposites no longer disturbs one.",1
229,what constitutes pranayama?,"after the psychophysical posture is achieved, breath regulation follows. it happens when inhalations and exhalations are regulated.",1
230,what constitutes breath control in yoga?,"after the psychophysical posture is achieved, breath regulation follows. it happens when inhalations and exhalations are regulated.",1
231,what is the prerequsite to the practice of breath control?,"after the psychophysical posture is achieved, breath regulation follows. it happens when inhalations and exhalations are regulated.",1
232,what are the types of pranayama?,"(breath regulation or pranayama* has three dimensions) inhalation, exhalation, and the (various) pauses (kumbhakka*). by paying attention to the place, time and number of each aspects, they become more subtle and extended.",1
