,Questions,Answers,Labels
78,Can the soul be dried up?,"This Self cannot be cut, burned, wetted, nor dried up; it is eternal, all-pervasive, stable, immovable, and ancient.",1
79,Is grieving suitable for those who know the Self or soul or atman?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
80,What are the characteristics of the Self?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
81,What is the soul?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
82,What is the Self?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
83,What are the characteristics of the soul?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
84,Who am I?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
85,What is atma?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
86,What is the atma?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",1
87,Is grieving suitable for even those who do not believe in an eternal soul or self or atman?,"But even if thou thinkest of It as constantly being born and constantly dying, even then, O mighty-armed one, thou shouldst not grieve.",1
88,Why is grieving unsuitable even for those who do not believe in an eternal soul or self?,"For the born, death is certain, and for the dead, birth is certain; therefore, you should not grieve over the inevitable.",1
89,Can you explain the cycle of birth and death?,"For the born, death is certain, and for the dead, birth is certain; therefore, you should not grieve over the inevitable.",1
90,Do beings have a definite beginning and end?,"Beings are unmanifest in their beginning, manifest in their middle state, O Arjuna, and unmanifest again in their end. What is there to grieve about?",1
91,What is so wonderful about the soul or the self?,"One sees this (the Self) as a wonder; another speaks of it as a wonder; another hears of it as a wonder; yet, having heard, none understands it at all.",1
92,Are all the selves eternal and indestructible?,"This indweller in the body of everyone is ever indestructible, O Arjuna; therefore, you should not grieve for any creature.",1
93,What is the greatest duty of a Kshatriya warrior?,"Further, having regard to your duty, you should not waver, for there is nothing higher for a Kshatriya than a righteous war.",1
94,What leads a Kshatriya warrior to heaven?,"Happy are the Kshatriyas, O Arjuna! who are called to fight in such a battle that comes of its own accord as an open door to heaven.",1
95,What happens to Kshatriya warriors who turn away from their duty?,"But if you will not fight this righteous war, then having abandoned your own duty and reputation, you will incur sin.",1
96,What do people treat Kshatriya warriors who turn away from their duty?,"People will also recount your everlasting dishonor; and for one who has been honored, dishonor is worse than death.",1
97,What do other warriors treat Kshatriya warriors who turn away from their duty?,"The great chariot-warriors will think that you have withdrawn from the battle out of fear, and you will be held in low esteem by those who have held you in high regard.",1
98,What do the enemies treat Kshatriya warriors who turn away from their duty?,"Your enemies, scoffing at your power, will speak many abusive words—what could be more painful than this?",1
99,What would have happened if Arjuna lost the Mahabharata war?,"Slain, you will obtain heaven; victorious, you will enjoy the earth; therefore, stand up, O son of Kunti, resolved to fight.",1
100,How can Arjuna make sure that he does not incur any sin by fighting the war?,"Having made pleasure and pain, gain and loss, victory and defeat equal, engage in battle for the sake of battle; thus, you shall not incur sin.",1
101,Where does Krishna start telling about Karma Yoga?,"This, which has been taught to you, is wisdom concerning Sankhya. Now listen to wisdom concerning Yoga, endowed with which, O Arjuna, you shall cast off the bonds of action.",1
102,Does the practice of Karma Yoga protect from evil?,"In this, there is no loss of effort, nor is there any harm produced, nor any transgression. Even a little of this knowledge protects one from great fear.",1
103,How to get rid of fear?,"In this, there is no loss of effort, nor is there any harm produced, nor any transgression. Even a little of this knowledge protects one from great fear.",1
104,How is the nature of the mind and intellect of a Karma Yogi?,"Here, O joy of the Kurus, there is only one single-pointed determination; many-branched and endless are the thoughts of the indecisive.",1
105,What happens to people who are engrossed in the rituals of the Vedas?,"The unwise, taking pleasure in the eulogizing words of the Vedas, utter flowery speech, saying, ""There is nothing else,"" O Arjuna.",1
106,What is wrong with people who are engrossed in the rituals of the Vedas?,"Full of desires, with heaven as their goal, (they speak words that are directed to ends) leading to new births as the result of their works, and prescribe various methods abounding in specific actions, for the attainment of pleasure and power.",1
107,What is the greatest limitation of people whose minds cling to pleasure and power?,"For those who are attached to pleasure and power, whose minds are drawn away by such teachings, their determinate reason is not formed which is steadily bent on meditation and Samadhi (superconscious state).",1
108,What are the characteristics of a person who is free from the three Gunas?,"The Vedas deal with the three attributes; be thou above these three attributes. O Arjuna, free yourself from the pairs of opposites and ever remain in the quality of Sattva, freed from acquisition and preservation, and be established in the Self.",1
109,Are the Vedas useful for a person with knowledge of the Self?,"To the Brahmana who has known the Self, all the Vedas are of as much use as a reservoir of water would be in a place where there is a flood.",1
110,What is the crux of Karma Yoga?,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction.",1
111,What is Karma?,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction.",1
112,What is Karma Yoga?,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction.",1
113,How should we work?,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction.",1
114,What is the secret of work?,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction.",1
115,What is the secret of Karma?,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction.",1
116,What is evenness of mind or equanimity?,"Perform action, O Arjuna, being steadfast in Yoga, abandoning attachment and balanced in success and failure; evenness of mind is called Yoga.",1
117,What is the importance of equanimity?,"Perform action, O Arjuna, being steadfast in Yoga, abandoning attachment and balanced in success and failure; evenness of mind is called Yoga.",1
118,How should action or karma be performed?,"Far lower than the Yoga of wisdom is action, O Arjuna. Seek thou refuge in wisdom; wretched are those whose motive is the fruit.",1
119,What is the definition of Yoga?,"Endowed with wisdom and evenness of mind, one casts off in this life both good and evil deeds; therefore, devote yourself to Yoga; Yoga is skill in action.",1
120,What is Yoga?,"Endowed with wisdom and evenness of mind, one casts off in this life both good and evil deeds; therefore, devote yourself to Yoga; Yoga is skill in action.",1
121,What happens to those who possess evenness of mind and are equanimous?,"The wise, possessing knowledge, having abandoned the fruits of their actions, and being freed from the bonds of birth, go to the place which is beyond all evil.",1
122,What happens to those who have gone beyond the tangle of delusion?,"When your intellect passes beyond the mire of delusion, then you will attain indifference to what has been heard and what has yet to be heard.",1
123,What happens to those whose whose intellect has been enlightened?,"When your intellect, which is perplexed by the Vedic texts you have read, stands immovable and steady in the Self, then you will attain Self-realization.",1
124,What was Arjuna's first question after hearing about Karma Yoga and the state of equanimity?,"Arjuna said, ""O Krishna, what is the description of one who has steady wisdom and is merged in the superconscious state? How does one of steady wisdom speak, how do they sit, and how do they walk?""",1
125,Who is said to possess firm wisdom?,"The Blessed Lord said, ""When a man completely casts off, O Arjuna, all the desires of the mind and is satisfied in the Self by the Self, then he is said to be one of steady wisdom.""",1
126,Who is considered to be a sthitaprajna?,"The Blessed Lord said, ""When a man completely casts off, O Arjuna, all the desires of the mind and is satisfied in the Self by the Self, then he is said to be one of steady wisdom.""",1
127,Who is considered to be equanimous?,"The Blessed Lord said, ""When a man completely casts off, O Arjuna, all the desires of the mind and is satisfied in the Self by the Self, then he is said to be one of steady wisdom.""",1
128,What is the state of a person whose mind is not perturbed by pain?,"He whose mind is not shaken by adversity, who does not long for pleasures, and is free from attachment, fear, and anger, is called a sage of steady wisdom.",1
129,What is the state of a person who is unbiased?,"He who is everywhere without attachment, upon encountering anything good or bad, neither rejoices nor hastens; his wisdom is firm.",1
130,When is a person's wisdom said to be firmly established?,"When, like the tortoise which withdraws all its limbs on all sides, he withdraws his senses from the sense-objects, then his wisdom becomes steady.",1
131,What happens to the senses when the Self becomes known?,"The objects of the senses turn away from the abstinent man, leaving the longing behind; but his longing also turns away upon seeing the Supreme.",1
132,How powerful are the senses?,"The turbulent senses, O Arjuna, can violently carry away the mind of a wise person, even though they are striving to control them.",1
133,Why do we need to control the senses?,"Having restrained them all, he should sit steadfast, intent on Me; his wisdom is steady whose senses are under control.",1
134,What happens when we think about sense objects?,"When one thinks of objects, attachment to them arises; from attachment, desire is born; from desire, anger arises.",1
135,What is wrong with attachment?,"When one thinks of objects, attachment to them arises; from attachment, desire is born; from desire, anger arises.",1
136,Why is detachment necessary for spiritual progress?,"When one thinks of objects, attachment to them arises; from attachment, desire is born; from desire, anger arises.",1
137,What is the effect of work with attachment?,"When one thinks of objects, attachment to them arises; from attachment, desire is born; from desire, anger arises.",1
138,What happens when we get angry?,"Anger leads to delusion, which causes loss of memory; this, in turn, leads to the destruction of discrimination, resulting in destruction.",1
139,Why do we make wrong decisions when we are angry?,"Anger leads to delusion, which causes loss of memory; this, in turn, leads to the destruction of discrimination, resulting in destruction.",1
140,What happens to those who have control over their sense objects?,"But the self-controlled man, moving among objects with the senses restrained and free from attraction and repulsion, attains peace.",1
141,How can we get over anger?,"But the self-controlled man, moving among objects with the senses restrained and free from attraction and repulsion, attains peace.",1
142,How can we become serene?,"But the self-controlled man, moving among objects with the senses restrained and free from attraction and repulsion, attains peace.",1
143,How is the state of a serene person?,"In that peace, all pains are destroyed; for the intellect of the tranquil-minded soon becomes steady.",1
144,Why is the importance of contemplation of the Self or soul?,"There is no knowledge of the Self for the unsteady, and no meditation is possible for the unsteady, and no peace for the unmeditative, and how can there be happiness for one who has no peace?",1
145,What happens to the mind when it follows the senses?,"For the mind, which follows in the wake of the wandering senses, carries away his discrimination, as the wind carries away a boat on the waters.",1
146,What happens to the one whose senses are restrained?,"Therefore, O mighty-armed Arjuna, his knowledge is steady whose senses are completely restrained from sense objects.",1
147,What is the difference between discerning sages and others?,"That which is night to all beings, in that the self-controlled man is awake; when all beings are awake, that is night for the sage who sees.",1
148,Where is the analogy with an undisturbed sea mentioned in the Gita?,"He attains peace into whom all desires enter, just as waters enter the ocean which, filled from all sides, remains unmoved; but not the man who is full of desires.",1
149,How can we attain peace?,"That person attains peace who, abandoning all desires, moves about without longing, without the sense of ownership, and without egoism.",1
150,What is the Brahmic state?,"O son of Pritha, this is the eternal state, the Brahmic seat. Attaining this, one is not deluded. Being established in it, one attains oneness with Brahman even at the end of life.",1
151,What was Arjuna's confusion about knowledge and action?,"Arjuna said: If Thou thinkest that knowledge is superior to action, O Krishna, why then, O Kesava, doest Thou ask me to engage in this terrible action?",1
152,What was Arjuna's confusion on hearing about the Yoga of knowledge and the Yoga of action?,"With this seemingly perplexing speech, you seem to be confusing my understanding; therefore, tell me one certain way by which I may attain bliss.",1
153,Is there any mention of Sankhya Yoga in the Gita?,"The Blessed Lord said, ""In this world, there is a twofold path, as I said before, O sinless one: the path of knowledge of the Sankhyas and the path of action of the Yogins.""",1
154,Does renunciation of work lead to liberation or salvation?,Man does not reach actionlessness by not performing actions; nor does he attain perfection by mere renunciation.,1
155,Can any person avoid doing action or work even for a moment?,"Verily, no one can remain for even a moment without performing action; for everyone is made to act helplessly, indeed, by the qualities born of Nature.",1
156,Who is a deluded person?,"He who, restraining the organs of action, sits thinking of the sense-objects in his mind, he of deluded understanding is called a hypocrite.",1
157,Who is an excellent person?,"But whoever, controlling the senses by the mind, O Arjuna, engages himself in Karma Yoga with the organs of action, without attachment, he excels.",1
158,Is action superior to inaction?,"Perform your bounden duty, for action is superior to inaction, and even the maintenance of the body would not be possible for you through inaction.",1
159,Why is it important to perform one's duties?,"Perform your bounden duty, for action is superior to inaction, and even the maintenance of the body would not be possible for you through inaction.",1
160,When does work or action lead to bondage?,"The world is bound by actions other than those performed for the sake of sacrifice; do thou, therefore, O son of Kunti (Arjuna), perform actions for that sake alone, free from attachment.",1
161,Why should we propagate our species?,"The Creator, having in the beginning created mankind together with sacrifice, said, ""By this shall you propagate; let this be the milch cow of your desires—the cow that yields all the desired objects.""",1
162,What is the duty of ordinary human beings?,"With this, nourish the gods, and may the gods nourish you; thus, nourishing each other, you shall attain the highest good.",1
163,Who is a thief?,"The gods, nourished by the sacrifice, will give you the desired objects. So, he who enjoys the objects given by the gods without offering anything in return is indeed a thief.",1
164,How can pious people remain free from sin?,The righteous who eat the remnants of the sacrifice are freed from all sins; but those sinful ones who cook food solely for their own sake indeed consume sin.,1
165,What is the importance of food?,"From food come forth beings; from rain, food is produced; from sacrifice arises rain, and sacrifice is born of action.",1
166,Where does activity or action spring from?,"Know that action comes from Brahma, and Brahma comes from the Imperishable. Therefore, the all-pervasive Brahma ever rests in sacrifice.",1
167,Why is it important to follow the laws of nature?,"He who does not follow the wheel thus set in motion, who is of sinful life, rejoicing in the senses, lives in vain, O Arjuna.",1
168,Do people who are satisfied with the Self also need to perform all the worldly duties?,"But for that man who rejoices only in the Self, who is satisfied with the Self and is content in the Self alone, indeed there is nothing to do.",1
169,Is there any motivation left for people who are satisfied with the Self?,"For him, there is no interest whatsoever in what is done or not done; nor does he depend on any being for any purpose.",1
170,Why is detachment important?,"Therefore, without attachment, always perform the actions that should be done; for by performing actions without attachment, one reaches the Supreme.",1
171,What is the result of detachment?,"Therefore, without attachment, always perform the actions that should be done; for by performing actions without attachment, one reaches the Supreme.",1
172,How did King Janaka reach perfection or salvation or liberation?,"Janaka and others attained perfection indeed through action alone; even with the intention of protecting the masses, you should perform action.",1
173,What impact do great men have on others?,"Whatever a great man does, others also do; whatever he establishes as the standard, the world follows.",1
174,Is God also bound by any duties towards the world?,"There is nothing in the three worlds, O Arjuna, that needs to be done by Me, nor is there anything unattained that needs to be attained; yet I engage Myself in action.",1
175,Why does God continue to perform action?,"For, should I not ever engage myself in action, unwearied, people would in every way follow my path, O Arjuna.",1
176,What will happen if God ceases to perform action?,These worlds would perish if I did not perform action; I would be the author of confusion of castes and destruction of these beings.,1
177,What should be the motivation for the wise men to work?,"As the ignorant act out of attachment to action, O Bharata, so should the wise act without attachment, wishing for the welfare of the world.",1
178,How should wise men treat other human beings?,"Let no wise man unsettle the minds of ignorant people who are attached to action; he should engage them in all actions, himself fulfilling them with devotion.",1
179,Is action performed by the individual or by nature itself?,"All actions are wrought in all cases by the qualities of Nature alone. He whose mind is deluded by egoism thinks, ""I am the doer.""",1
180,How does the knowledge of the Gunas lead to detachment?,"But he who knows the Truth, O mighty-armed Arjuna, about the divisions of the qualities and their functions, knowing that the Gunas, as senses, move amidst the Gunas, as the sense-objects, is not attached.",1
181,How should the ignorant be treated?,Those deluded by the qualities of Nature are attached to the functions of the qualities. The man of perfect knowledge should not unsettle the foolish one who is of imperfect knowledge.,1
182,Where does Krishna first talk about the concept of surrender?,"Renouncing all actions in Me, with the mind centered on the Self, free from hope and egoism, and from mental fever, fight thou.",1
183,Where does Krishna first talk about the concept of faith?,"Those who constantly practice this teaching of Mine with faith and without caviling, they too are freed from actions.",1
184,What happens to those who do not follow the principle of Karma Yoga?,"But those who criticize My teaching and do not practice it, deprived of all knowledge and lacking discernment, know them to be doomed to destruction.",1
185,Should innate desires be repressed?,Even a wise man acts in accordance with his own nature; beings will follow their nature; what can restraint do?,1
186,How should one treat his or her own senses?,"Attachment and aversion for the objects of the senses abide in the senses; let no one come under their sway; for, they are his enemies.",1
